heading,news_provider,date,time,wordcount
  Bitcoin's Fold expands partnership with Visa,The Green Sheet,2023-03-31,05:00:00,528
"  Cryptocurrency Price Today: Ethereum Climbs Above $1,800 As Top Coins See Minor Movements",ABP News,2023-03-31,04:53:00,533
  Bitcoin Stuck in Bearish Elliott Wave Pattern Despite 47% Rally. What Does This Mean For AltSignals’ ASI Token?,Bankless Times,2023-03-31,02:09:00,900
  TeraWulf Inc. (WULF) Q4 2022 Earnings Call Transcript,Seeking Alpha,2023-03-31,00:17:00,5005
  U.S. Government Sold $216M of Seized Silk Road Bitcoin This Month,CoinDesk,2023-03-31,00:00:00,447
  ZeroSync and Blockstream to Broadcast Bitcoin Zero-Knowledge Proofs From Space,CoinDesk,2023-03-31,00:00:00,489
  Investors Pour Money Into Crypto Investments for 4th Straight Month,CoinDesk,2023-03-31,00:00:00,507
"  Crypto Market March Roundup: Bitcoin Rises Amid Banking Uncertainties, Macro Headwinds",CoinDesk,2023-03-31,00:00:00,1095
  Planners of Bitcoin Conference in Atlanta Move to Open-Source Their Agenda,CoinDesk,2023-03-31,00:00:00,668
  Bitcoin Miner Marathon Digital's CFO to Retire After One Year,CoinDesk,2023-03-31,00:00:00,406
  Pomp Still Believes That Bitcoin Is The Best Inflation Hedge Despite The Slew Of Criticisms – Here’s Why,ZyCrypto,2023-03-30,23:11:00,452
  Bitcoin Rally Continues Amid Banking Crisis – Commentary,ValueWalk,2023-03-30,21:48:00,339
  How Can Institutional Cryptocurrency Adoption Boost the Crypto Industry?,Cryptopolitan,2023-03-30,20:36:00,2075
  The environmental impact of Crypto in 2023,The Silicon Review,2023-03-30,20:00:00,686
  The environmental impact of Crypto in 2023..,The Silicon Review,2023-03-30,20:00:00,686
  3 Short-Squeeze Stocks That Could Skyrocket in 2023,InvestorPlace,2023-03-30,19:20:00,841
"  Three crypto stocks for best returns-- Big Eyes Coin, Algorand (ALGO",Asian News International,2023-03-30,19:00:00,739
  Five coins to add to your portfolio in the Q1 of 2023 including Big,Asian News International,2023-03-30,19:00:00,662
  Five coins to add to your portfolio in the Q1 of 2023 including Big Eyes Coin,Asian News International,2023-03-30,19:00:00,664
"  Three crypto stocks for best returns-- Big Eyes Coin, Algorand (ALGO), and Litecoin (LTC)",Asian News International,2023-03-30,19:00:00,742
  BitGo Introduces Ordinals Inscriptions Secure Storage & Tracking Solution,PRWeb,2023-03-30,16:00:00,663
  Bitcoin Rewards Company Fold Expands its Partnership with Visa,PRWeb,2023-03-30,16:00:00,483
  1inch Network (1INCH) Hits 1-Day Trading Volume of $200.43 Million,Daily Political,2023-03-30,15:06:00,648
"  ‘No price’ at which bitcoin is a sensible investment, says ART chief economist",Investor Daily,2023-03-30,15:00:00,287
  1 Bitcoin to USD: You can now buy 42% fewer satoshis for a dollar than at the start of 2023,Finbold - Finance in Bold,2023-03-30,14:52:00,342
  Moonbeam Price Hits $0.37 on Exchanges (GLMR),Daily Political,2023-03-30,14:50:00,557
  Crypterium Price Tops $0.11 on Top Exchanges (CRPT),Daily Political,2023-03-30,14:50:00,560
  Dero (DERO) Price Reaches $8.79 on Top Exchanges,Daily Political,2023-03-30,14:50:00,646
  Major upgrades for BTC South Andros,Bahamas Local,2023-03-30,14:48:00,752
"  Governance OHM Price Reaches $2,718.76 (GOHM)",Daily Political,2023-03-30,14:34:00,826
  Immutable X (IMX) Price Hits $1.13 on Exchanges,Daily Political,2023-03-30,14:32:00,514
  CDbio Trading 1.4% Lower Over Last 7 Days (MCD),Daily Political,2023-03-30,14:32:00,574
"  U.S. interest rate pause could kickstart Bitcoin rally in May, charts indicate",Finbold - Finance in Bold,2023-03-30,12:59:00,388
"  Investors take refuge in Bitcoin, which rises above $28,000",Digital Look,2023-03-30,11:27:00,397
  ‘Shop Till You Drop’: Rich Dad Poor Dad Author Explains Why Now’s A Great Time To Buy Bitcoin,ZyCrypto,2023-03-30,11:24:00,486
"  Ignition Casino Review (Updated for 2023): Is Ignition Legit? Pros, Cons, and More",San Jose Mercury News,2023-03-30,10:00:00,2545
  Bitcoin and Ethereum: Are we on the way to 30k?,Proactive Investors Australia,2023-03-30,09:54:00,491
"  Machine learning algorithm sets Bitcoin price for April 30, 2023",Finbold - Finance in Bold,2023-03-30,08:59:00,364
"  Cryptocurrency Price Today: Bitcoin Surges To Reach $29,000, Other Top Coins See Minor Losses",ABP News,2023-03-30,08:01:00,573
"  Amid the Failures, Who Is Providing Banking Services to Crypto?",Finance Magnates,2023-03-30,07:38:00,1674
  MicroStrategy: Buying The Bitcoin Dip Was A Smart Move,Seeking Alpha,2023-03-30,06:27:00,763
  Bitcoin Volatility Likely as Options Worth $4B Expire on Friday,CoinDesk,2023-03-30,00:00:00,639
  Crypto Custody Firm BitGo Releases Security Features Aimed at Bitcoin Ordinals,CoinDesk,2023-03-30,00:00:00,499
  E-Business3 days ago Paxful Personally Returns Celsius Funds for Paxful Earn Customers,Nigeria Communications Week,2023-03-30,00:00:00,2040
  Bitcoin Price Rally Stalls as Whales Take Profits: CryptoQuant,CoinDesk,2023-03-30,00:00:00,321
  NITDA Supports Avocats Sans Frontiers France on Online Rights Protection,Nigeria Communications Week,2023-03-30,00:00:00,2039
  Paxful Personally Returns Celsius Funds for Paxful Earn Customers,Nigeria Communications Week,2023-03-30,00:00:00,2038
"  Angelo Babb, FinTech Visionary, Unravels the Secrets Behind Bitcoin's Unrivaled Potential as the Pinnacle of Wealth Preservation Technology",WebWire,2023-03-29,23:54:00,450
"  Mooners and Shakers: Bitcoin back above $28k as altcoins Kaspa, Conflux and Algorand surge",Stockhead,2023-03-29,23:45:00,760
  Cryptocurrency News Today: Bitcoin Price Flails as World Governments Explore Crypto Regulation – Metacade’s Presale End Date Looms,Bankless Times,2023-03-29,21:20:00,901
"  LINA, INJ, SXP, ALGO Tokens Soars as Bitcoin Price Targets $30K",Bankless Times,2023-03-29,20:33:00,413
  Restrict Act could be used to ban Bitcoin and other cryptocurrencies in the US,Techstory,2023-03-29,20:00:00,462
  Major Upgrades For BTC South Andros,ZNS Bahamas,2023-03-29,19:28:00,370
"  Stronghold Digital Mining, Inc. (SDIG) Q4 2022 Earnings Call Transcript",Seeking Alpha,2023-03-29,18:33:00,7176
  Cathie Wood Is Making a Huge Mistake With These 3 Stocks,InvestorPlace,2023-03-29,18:08:00,851
"  Part I: When You Jump Chains, Do NFTs Stay the Same? Ordinals on the Bitcoin Blockchain",JDSUPRA Business Advisor,2023-03-29,17:54:00,1086
  From Bitcoin to Bucks: 10 Vital Differences to Understand About Crypto vs Cash,Cryptopolitan,2023-03-29,17:25:00,1770
"  Bitcoin climbs above $28,000 as investors shrug off regulatory crackdowns",CNBC,2023-03-29,17:05:00,587
  Decred (DCR) Price Up 8.3% Over Last 7 Days,Daily Political,2023-03-29,16:54:00,581
  Bitcoin Private (BTCP) Price Hits $0.27 on Exchanges,Daily Political,2023-03-29,16:50:00,124
  Bitpanda Ecosystem Token Price Hits $0.37 on Top Exchanges (BEST),Daily Political,2023-03-29,16:50:00,639
  Smooth Love Potion Trading Down 3.6% Over Last Week (SLP),Daily Political,2023-03-29,16:50:00,595
"  Kin 24 Hour Volume Reaches $394,304.94 (KIN)",Daily Political,2023-03-29,16:50:00,641
  Ampleforth Governance Token (FORTH) Reaches 24 Hour Volume of $1.96 Million,Daily Political,2023-03-29,16:38:00,562
  BitShares Price Down 1.1% Over Last 7 Days (BTS),Daily Political,2023-03-29,16:34:00,560
  Neutrino USD Trading Up 4.5% This Week (USDN),Daily Political,2023-03-29,16:34:00,628
  Kadena (KDA) Hits Self Reported Market Capitalization of $215.03 Million,Daily Political,2023-03-29,16:20:00,615
  Tether Gold (XAUT) Hits Self Reported Market Cap of $95.39 Million,Daily Political,2023-03-29,16:18:00,515
"  DeepBrain Chain One Day Volume Reaches $736,633.62 (DBC)",Daily Political,2023-03-29,16:18:00,529
  Floki Inu Price Tops $0.0000 (FLOKI),Daily Political,2023-03-29,16:18:00,624
  Bitcoin Price Predictions: How High Can the Bank Failures Boost the ‘OG’ Crypto?,InvestorPlace,2023-03-29,15:37:00,783
"  ChatGPT joins crypto hype, sets Bitcoin price at $300,000 by 2030",Finbold - Finance in Bold,2023-03-29,14:17:00,418
  CFTC Lawsuit Against Binance Puts Crypto Investors on Edge,ETF Trends,2023-03-29,13:31:00,408
  Bitcoin Showing Inflation Hedge Possibilities,ETF Trends,2023-03-29,13:14:00,507
  Pro trader says Bitcoin to dive to $13k before major rally as ‘financial crisis 2.0′ unfolds,Finbold - Finance in Bold,2023-03-29,12:34:00,438
"  Bitcoin Climbs Above $28,000 as Investors Shrug Off Regulatory Crackdowns",NBC 10,2023-03-29,11:36:00,637
"  Bitcoin climbs 5% above $28,000 as investors shrug off regulatory crackdowns",CNBC,2023-03-29,10:36:00,581
"  Bitcoin adds $30 billion to its market cap in a day; Is BTC price set to hit $30,000?",Finbold - Finance in Bold,2023-03-29,10:20:00,440
  Bitcoin and Ethereum: Have the crypto markets peaked?,Proactive Investors Australia,2023-03-29,10:02:00,609
  Galaxy Digital Turns $1.7b Net Income from 2021 to $1b Loss in 2022,Finance Magnates,2023-03-29,09:47:00,1451
  Galaxy Digital Turns $1.7B Net Income from 2021 to $1B Loss in 2022,Finance Magnates,2023-03-29,09:47:00,1451
  Buoyant bitcoin’s losing its liquidity,The Daily Star,2023-03-29,06:00:00,625
  Net Worth'What Bitcoin Did' Podcast Host Peter McCormack Made Millions Trading CryptoByChris Barilla,Market Realist,2023-03-29,05:00:00,628
  Cryptocurrency & Blockchain'What Bitcoin Did' Podcast Host Peter McCormack Made Millions Trading CryptoByChris Barilla,Market Realist,2023-03-29,05:00:00,620
"  Cryptocurrency Price Today: Bitcoin Rises Above $27,000 As Top Coins Register Gains",ABP News,2023-03-29,04:42:00,617
  New ERC20 Tokens. 12 ERC Coins Set to Skyrocket in 2023,Bankless Times,2023-03-29,01:41:00,4212
"  Low Trading Volumes, Diminishing Liquidity Spur Bitcoin Price Volatility",CoinDesk,2023-03-29,00:00:00,416
"  First Mover Americas: Bitcoin, Up 70% This Year, Rebounds Past $28K",CoinDesk,2023-03-29,00:00:00,636
  Mooners and Shakers: Bitcoin resilient; Chinese banks support Hong Kong crypto firms; XRP pumps further,Stockhead,2023-03-28,23:56:00,721
  7 Cryptos to Watch as Legal Troubles Hit the Blockchain,InvestorPlace,2023-03-28,23:00:00,1574
"  How is bitcoin still trading (for now) at $27,000?",NBC News,2023-03-28,21:40:00,1062
  Why Bitcoin could finally decouple from global stock markets,The National,2023-03-28,21:00:00,827
"  ETF Prime: Dave Nadig Talks Credit Suisse ETNs, Banking Crisis & Crypto Regulation",ETF Trends,2023-03-28,20:36:00,968
  How Top 10 Cryptocurrencies in the US Can Help Push Massive Crypto Adoption,Cryptopolitan,2023-03-28,20:31:00,1545
  Study Reveals The Most Tweeted About Cryptocurrency Projects,InvestorIdeas.com,2023-03-28,20:20:00,790
  How to Select Among the Top 5 Crypto Mining Mobile Apps in 2023,Cryptopolitan,2023-03-28,19:20:00,2297
  European Stocks Mixed and Banks Shed Gains as Sentiment Remains Wary,NBC 10,2023-03-28,17:22:00,1724
  Galaxy Digital Holdings (BRPHF) Q4 2022 Earnings Call Transcript,Seeking Alpha,2023-03-28,17:13:00,9022
  Are You Chomping at the BITC for a Direct Exposure Bitcoin ETF?,TheStreet.com,2023-03-28,16:38:00,870
"  How Binance really operates: The world’s largest crypto exchange boasts vast profits, hefty influencer payouts, and a ticking time bomb on...",Fortune,2023-03-28,16:28:00,3838
"  Seiren Games Network (SERG) 24-Hour Volume Tops $14,423.21",Daily Political,2023-03-28,14:26:00,534
  Provenance Blockchain (HASH) Self Reported Market Capitalization Achieves $2.72 Billion,Daily Political,2023-03-28,14:26:00,524
  Radicle Price Tops $1.98 on Major Exchanges (RAD),Daily Political,2023-03-28,14:26:00,589
"  MOBLAND 24-Hour Volume Tops $217,705.64 (SYNR)",Daily Political,2023-03-28,14:26:00,487
  WeBuy Price Hits $1.42 (WE),Daily Political,2023-03-28,14:04:00,505
  Aleph Zero (AZERO) Price Tops $1.42 on Exchanges,Daily Political,2023-03-28,13:56:00,563
  IPVERSE (IPV) Trading 2.3% Lower Over Last 7 Days,Daily Political,2023-03-28,13:55:00,497
  Telcoin (TEL) Price Reaches $0.0020,Daily Political,2023-03-28,13:55:00,540
  Bitcoin seller loses lawsuit over deal involving $320k in cash,The New Paper,2023-03-28,13:42:00,816
"  Outstanding DeFi stocks with great profit potential— Big Eyes Coin, Solana, and Litecoin",Euro Weekly News,2023-03-28,13:15:00,746
"  March Madness continues as Bitcoin Speeds towards $30,000, Dogecoin Surges by 4% and Top Presale Big Eyes Hits 32.2 Million",Euro Weekly News,2023-03-28,12:30:00,930
  The Interoperability Challenge of DeFi: Cross-Chain Solutions and Standards,Finance Magnates,2023-03-28,12:17:00,2334
  Binance Allegations Veer into the Darkly Absurd,Finance Magnates,2023-03-28,10:56:00,2146
"  Bank Crisis - The Worst Potential Outcome, Where You Should Put Your Money Now",Seeking Alpha,2023-03-28,10:32:00,4342
  Bitcoin and Ethereum: Crypto markets face Binance headwinds,Proactive Investors Australia,2023-03-28,09:57:00,398
  Real world solutions for Hong Kong’s virtual ambitions,Finance Asia,2023-03-28,08:41:00,1868
"  MicroStrategy Buys Over 6,000 Bitcoins, Repays Silvergate Loan: Here Is What It Means",ABP News,2023-03-28,08:39:00,552
  Forecast 2023 (First Quarter Update): Starting To Prepare For A Bottom,Seeking Alpha,2023-03-28,07:00:00,1375
  Cryptoverse: Buoyant bitcoin’s losing its liquidity,The Malay Mail,2023-03-28,06:29:00,650
"  Cryptocurrency Price Today: Bitcoin Slides Below $27,000 As Top Coins Land In Reds",ABP News,2023-03-28,05:05:00,578
"  Black, Hispanic investors struggle with faith in crypto - March 28, 2023",LegalNews.com,2023-03-28,05:00:00,1735
  Stock Market Today: Stock Market Struggles While Alibaba Shines Tech and communication services stocks were two of the worst performers...,Kiplinger.com,2023-03-28,05:00:00,686
"  9 Bitcoin ETFs and Cryptocurrency Funds You Should Know cryptocurrencyAfter a volatile 2022, Bitcoin and other digital currencies are...",Kiplinger.com,2023-03-28,05:00:00,2979
  3 Crypto Stocks to Buy as Bitcoin Surges Once Again,InvestorPlace,2023-03-28,02:51:00,854
  Strathdale Park triumphs in pennant tennis grand final,Bendigo Advertiser,2023-03-28,00:30:00,630
  Mooners and Shakers: Bitcoin dips after CFTC sues Binance; MicroStrategy buys more BTC; XRP up 6%,Stockhead,2023-03-28,00:13:00,1036
  FeatureThe Evolution of Ransomware,TechSpot,2023-03-27,22:55:00,2475
  Bitcoin Whale MicroStrategy Repays Silvergate Loan And Buys Another $150 Million Worth Of BTC,ZyCrypto,2023-03-27,21:50:00,439
  Bitcoin: Is That The Bear Market In The Rearview Mirror Or Just The Initial Decline?,Seeking Alpha,2023-03-27,21:12:00,1750
  Has Bitcoin risen from the dead - again?,The National,2023-03-27,21:00:00,1044
  Binance experienced major BTC and stablecoin withdrawals after CFTC’s lawsuit,Techstory,2023-03-27,20:00:00,480
"  Black, Hispanic Investors Struggle with Faith in Crypto",San Diego Voice and Viewpoint,2023-03-27,20:00:00,1733
"  125,000 tons of Tengiz oil to be pumped via BTC next month",ABC.AZ Daily News,2023-03-27,20:00:00,237
  The Global Crypto Landscape: Countries That Accept Crypto in 2023,Cryptopolitan,2023-03-27,19:11:00,1294
  Bitcicoin Price Down 5.4% This Week (BITCI),Daily Political,2023-03-27,16:52:00,612
  Gas (GAS) Trading 6.1% Lower Over Last 7 Days,Daily Political,2023-03-27,16:52:00,823
  Bitcoin Falls After CFTC Sues Crypto Exchange Binance for Allegedly Breaking Trading Rules,NBC 10,2023-03-27,16:45:00,504
  Bitcoin falls after CFTC sues crypto exchange Binance for allegedly breaking trading rules,CNBC,2023-03-27,16:43:00,480
  Celo Dollar (CUSD) Market Capitalization Tops $40.65 Million,Daily Political,2023-03-27,16:38:00,517
  HedgeTrade Price Down 5.6% This Week (HEDG),Daily Political,2023-03-27,16:36:00,475
  JOE Hits One Day Volume of $109.37 Million (JOE),Daily Political,2023-03-27,16:36:00,550
  DAO Maker Price Down 3.9% Over Last 7 Days (DAO),Daily Political,2023-03-27,16:36:00,514
  Beldex (BDX) Self Reported Market Capitalization Tops $234.74 Million,Daily Political,2023-03-27,16:36:00,529
"  Neutrino USD Tops 24 Hour Trading Volume of $76,217.12 (USDN)",Daily Political,2023-03-27,16:24:00,633
  Crypto Corner Podcast: Cryptocurrency Stocks in the News: (NasdaqGS: MSTR) (NasdaqCM: BTBT) (OTC: NPPTF),InvestorIdeas.com,2023-03-27,16:20:00,944
  Enigma (ENG) Price Tops $0.0056 on Exchanges,Daily Political,2023-03-27,16:20:00,570
  Dogecoin Trading 1.3% Lower Over Last 7 Days (DOGE),Daily Political,2023-03-27,16:20:00,533
  Sapphire Price Down 5.3% Over Last 7 Days (SAPP),Daily Political,2023-03-27,16:20:00,500
  Cryptoverse: Buoyant bitcoin's losing its liquidity,AsiaOne,2023-03-27,16:00:00,624
  DeepBrain Chain Trading 14% Lower This Week (DBC),Daily Political,2023-03-27,15:46:00,527
  Tether Gold Hits 24 Hour Trading Volume of $6.55 Million (XAUT),Daily Political,2023-03-27,15:46:00,517
  Kadena Price Down 13% Over Last Week (KDA),Daily Political,2023-03-27,15:46:00,619
  Adshares (ADS) Hits Market Cap of $32.45 Million,Daily Political,2023-03-27,15:46:00,618
  Alpha Finance Lab (ALPHA) Price Tops $0.0984 on Exchanges,Daily Political,2023-03-27,15:46:00,567
  Many Black and Latino investors were drawn to crypto by its promise to be pathway to wealth-building outside of a traditional financial...,Plainview Daily Record,2023-03-27,15:41:00,1797
  The crypto meltdown has hurt Black and Latino investors attracted to building wealth outside of traditional systems: ‘It was great until it...,Fortune,2023-03-27,14:48:00,1746
  Why Warren Buffett is wrong about crypto: Expert opinion,Finbold - Finance in Bold,2023-03-27,14:17:00,609
  Bitcoin and Ethereum communities call off their arguments,CryptoNewsZ,2023-03-27,12:42:00,402
  How to Use Crypto For Your Payments,The Chain Bulletin,2023-03-27,11:44:00,668
  Bitcoin and Ethereum face profit taking and Coinbase headwinds,Proactive Investors Australia,2023-03-27,10:31:00,473
  These Bitcoin Stocks Have the Most Upside,Highlight Press,2023-03-27,10:30:00,797
  Crypto revival,The Tribune,2023-03-27,10:00:00,563
  A Comprehensive Outlook of Bitcoin for 2023,HNGN,2023-03-27,05:00:00,1071
"  Cryptocurrency Price Today: Top Coins Register Minor Losses, SSV Becomes Biggest Gainer",ABP News,2023-03-27,04:59:00,598
  7 Crypto Miners That Are Minting Money,InvestorPlace,2023-03-27,03:39:00,1418
"  CryptoWatch: Cryptocurrency's Decline with Binance, SEC Run-ins of Coinbase and Tron",Tech Times,2023-03-27,03:03:00,571
  VC Tim Draper advises firms to hold at least two payrolls worth of cash in Bitcoin amid US banking concerns,Stockhead,2023-03-27,02:28:00,498
  Mooners and Shakers: Bitcoin steady; Nasdaq set for crypto custody by end of Q2; Amazon has NFT plans?,Stockhead,2023-03-27,00:21:00,730
"  BTC Price Set To Hit $30,000 As BTC Price Pumps – Buy Now With These New Cryptos For Huge 2023 Gains",Tech Report,2023-03-27,00:03:00,643
"  breakingBTC Price Set To Hit $30,000 As BTC Price Pumps – Buy Now With These New Cryptos For Huge 2023 Gains",Tech Report,2023-03-27,00:03:00,643
  Greenpeace art installation ‘Skull of Satoshi’ sparks debate on Bitcoin’s impact on environment,Cryptopolitan,2023-03-26,21:53:00,429
"  Black, Hispanic investors struggle with faith in crypto",Highlight Press,2023-03-26,21:41:00,1909
  SOCAR begins Kazakh oil transit via Baku-Tbilisi-Ceyhan pipeline,ABC.AZ Daily News,2023-03-26,20:00:00,309
  SOCAR begins Kazakh oil transit via Baku-Tbilisi-Ceyhan pipeline 27 March 202310:12,ABC.AZ Daily News,2023-03-26,20:00:00,313
"  The US government holds 205,515 bitcoins worth 5.6 billion",Techstory,2023-03-26,20:00:00,468
  Bitcoin faces liquidity crisis despite price surge – what’s next?,Cryptopolitan,2023-03-26,19:59:00,583
  What’s behind bitcoin’s latest surge?,The Daily Star,2023-03-26,19:03:00,531
  MicroStrategy repays US$205m crypto loan with bitcoin collateral,Dimsum Daily,2023-03-26,17:00:00,320
"  The Fed Jinak, Bitcoin Kembali Bangun MomentumBullish",Jakarta Globe,2023-03-26,16:00:00,333
  Suku (SUKU) Price Tops $0.0804 on Exchanges,Daily Political,2023-03-26,15:42:00,507
"  Alchemix USD (ALUSD) 24 Hour Trading Volume Hits $253,329.37",Daily Political,2023-03-26,15:42:00,591
  Efforce Trading 12.3% Lower Over Last Week (WOZX),Daily Political,2023-03-26,15:28:00,510
"  Governance OHM (GOHM) Price Reaches $2,735.99 on Top Exchanges",Daily Political,2023-03-26,15:14:00,825
  PLC Ultima Price Down 18.5% Over Last 7 Days (PLCU),Daily Political,2023-03-26,15:10:00,507
  Apollo Currency Price Hits $0.0004 on Top Exchanges (APL),Daily Political,2023-03-26,15:10:00,510
  IoTeX Price Tops $0.0248 on Major Exchanges (IOTX),Daily Political,2023-03-26,15:10:00,586
  Songbird Trading 9% Lower Over Last Week (SGB),Daily Political,2023-03-26,14:50:00,634
  1inch Network One Day Volume Reaches $21.05 Million (1INCH),Daily Political,2023-03-26,14:50:00,645
  CDbio (MCD) Hits Self Reported Market Cap of $1.00 Billion,Daily Political,2023-03-26,14:50:00,574
  Harmony Hits 1-Day Volume of $18.10 Million (ONE),Daily Political,2023-03-26,14:34:00,654
  Terra Classic (LUNC) Hits 1-Day Trading Volume of $88.74 Million,Daily Political,2023-03-26,14:34:00,528
  Reef Achieves Market Cap of $59.10 Million (REEF),Daily Political,2023-03-26,14:34:00,559
  Cronos Market Capitalization Reaches $1.76 Billion (CRO),Daily Political,2023-03-26,14:34:00,557
  Hidigital btc (HDBTC) Price Tops $3.49 on Major Exchanges,Daily Political,2023-03-26,14:34:00,124
  Cindicator Price Reaches $0.0010 (CND),Daily Political,2023-03-26,14:22:00,505
  Liquity (LQTY) Market Cap Achieves $193.93 Million,Daily Political,2023-03-26,14:18:00,572
  Polkadot (DOT) Price Down 5.9% Over Last 7 Days,Daily Political,2023-03-26,14:18:00,604
  Bitcoin Is Poised to Blow Up Africa's $86 Billion Banking System,NBC 6 South Florida,2023-03-26,14:17:00,2408
  Bitcoin Poised To Follow Rules Of Economics And Appreciate Long-Term — Bloomberg Analyst,ZyCrypto,2023-03-26,14:13:00,474
  Bitcoin is poised to blow up Africa's $86 billion banking system,CNBC,2023-03-26,14:00:00,2391
"  Bitcoin Price Rallies up 45% After First Republic Bank, Credit Suisse Bank, and SVB Collapse",Industry Leaders Magazine,2023-03-26,05:00:00,563
"  Bitcoin Maximalist Matthew Kratter Asserts $1 Million Value For BTC, Counters Balaji’s Forecast",ZyCrypto,2023-03-25,21:47:00,432
  The crypto exchange this 26-year-old launched in 2019 has done $1.75 billion in transactions,CNBC,2023-03-25,18:02:00,4220
  ICP Price Prediction 2023-2032: Is Internet Computer Resurgence Possible?,Cryptopolitan,2023-03-25,17:22:00,2881
  This 26-year-old went from Taco Bell to creating Africa's biggest crypto exchange,CNBC,2023-03-25,17:06:00,4218
  Krypto Miners Club Releases Revolutionary NFT Collection Backed by BTC Mining on Polygon Blockchain,Intellasia,2023-03-25,17:02:00,502
  EXCLUSIVE: TCI Financial Services Sector has a NEW Management & Marketing entity; introduction is made by Finance & Investment Minister ,Magnetic Media,2023-03-25,16:46:00,1352
"  Uton Graham, Bars Manager at BTC masters his mix with training the next generation",Magnetic Media,2023-03-25,15:33:00,1635
  PotCoin Price Down 41.7% Over Last Week (POT),Daily Political,2023-03-25,14:54:00,503
  ZEON Market Cap Hits $65.10 Million (ZEON),Daily Political,2023-03-25,14:54:00,529
  Terran Coin (TRR) Price Hits $0.21,Daily Political,2023-03-25,14:54:00,537
  JOE Price Up 26.6% Over Last Week (JOE),Daily Political,2023-03-25,14:40:00,543
"  Mawson Infrastructure Group, Inc. (MIGI) Q4 2022 Earnings Call Transcript",Seeking Alpha,2023-03-25,14:39:00,6399
  Kyber Network Crystal Legacy (KNCL) Achieves Self Reported Market Cap of $142.31 Million,Daily Political,2023-03-25,14:38:00,583
  Dogecoin Price Reaches $0.0750 (DOGE),Daily Political,2023-03-25,14:38:00,528
  Rocket Pool Price Down 13.7% Over Last Week (RPL),Daily Political,2023-03-25,14:38:00,598
  Compound USD Coin Tops One Day Volume of $6.58 Million (CUSDC),Daily Political,2023-03-25,14:38:00,626
"  Sapphire 24-Hour Trading Volume Tops $29,554.14 (SAPP)",Daily Political,2023-03-25,14:38:00,495
"  Adshares Reaches 24-Hour Volume of $393,621.20 (ADS)",Daily Political,2023-03-25,14:30:00,623
"  Tether Gold Price Tops $1,980.40 on Exchanges (XAUT)",Daily Political,2023-03-25,14:30:00,510
  Kadena (KDA) One Day Volume Hits $5.22 Million,Daily Political,2023-03-25,14:28:00,624
"  Alpha Finance Lab (ALPHA) Hits 1-Day Volume of $779,896.63",Daily Political,2023-03-25,14:28:00,569
  The Crypto Exchange This 26-Year-Old Launched in 2019 Has Done $1.75 Billion in Transactions,NBC 10,2023-03-25,13:56:00,4368
  How this 26-year-old went from running bitcoin trading desks in Taco Bells to creating the largest crypto exchange in Africa,CNBC,2023-03-25,13:11:00,4224
  El Salvador President Nayib Bukele Prepares Bill to Eliminate All Taxes on Technology Innovations,Tech Times,2023-03-25,13:03:00,583
  Can Bitcoin reach $1 million in 90 days? Expert analyzes Balaji’s forecast,Finbold - Finance in Bold,2023-03-25,12:55:00,665
  3 Cryptos to Buy Before They Blast Higher,InvestorPlace,2023-03-25,12:46:00,710
