heading,news_provider,date,time,wordcount
  Bitcoin's Rally Stalls. Crypto Traders May Wait Until Friday for a Big Move. -- Barrons.com,Dow Jones Institutional News,2023-03-27,09:23:00,538
  Press Release: Quarterly Cash Dividend Announced By Vortex Brands from Bitcoin Mining Operations,Dow Jones Institutional News,2023-03-24,13:30:00,590
"  Bitcoin Rises With $30,000 in Sight. The Weekend Could Bring the Wildest Moves. -- Barrons.com",Dow Jones Institutional News,2023-03-24,09:47:00,456
  EQS-News: Samara Asset Group has changed its Ticker Symbol to SRAGv,Dow Jones Institutional News,2023-03-24,07:30:00,819
  *Mawson Infrastructure 4Q Rev $16.8M >MIGI,Dow Jones Institutional News,2023-03-23,20:07:00,1298
"  Bitcoin, Crypto Retreat as Stock Markets Rise -- WSJ",Dow Jones Institutional News,2023-03-23,14:21:00,204
  Press Release: CleanSpark Releases ESG and Corporate Responsibility Report,Dow Jones Institutional News,2023-03-23,13:00:00,1046
  Press Release: Iris Energy provides 5.5 EH/s installation update,Dow Jones Institutional News,2023-03-23,11:05:00,1537
  Bitcoin Edges Lower. Crypto Traders Pause Before Another Rally. -- Barrons.com,Dow Jones Institutional News,2023-03-23,09:38:00,380
                             Binance Charging Fees for Bitcoin Trading Again -- WSJ,Dow Jones Institutional News,2023-03-22,20:58:00,310
  One S&P 500 Stock Is Beating Bitcoin This Year. It's Not Tesla or Meta. -- Barrons.com,Dow Jones Institutional News,2023-03-22,17:40:00,435
  Press Release: Navier brings Bitcoin mining to Ethereum with Reactor.xyz Marketplace,Dow Jones Institutional News,2023-03-22,13:46:00,548
"  Press Release: Bit Digital Announces Strategic Executive Leadership Realignment, Advisory Board and Strategic Priorities for 2023",Dow Jones Institutional News,2023-03-22,12:15:00,2431
  Coinbase Stock Sees a Record Winning Streak. Americans Are Bullish on Crypto Again. -- Barrons.com,Dow Jones Institutional News,2023-03-22,11:58:00,611
  Press Release: Ault Alliance Provides 2023 Revenue Guidance of More Than $200 Million,Dow Jones Institutional News,2023-03-22,10:30:00,906
  Bitcoin Rises Ahead of Fed Decision. Crypto Traders Are Poised to Push Prices Higher. -- Barrons.com,Dow Jones Institutional News,2023-03-22,10:07:00,701
  Bitcoin Receives a Boost From the Turbulence in Banking -- WSJ,Dow Jones Institutional News,2023-03-22,06:32:00,997
  Bitcoin Booms on Back of Bank Crisis -- WSJ,Dow Jones Institutional News,2023-03-21,15:36:00,953
  Press Release: Leading Bitcoin ATM Operator Bitcoin Depot Announces Retail Partnership with GetGo(R) Café + Market,Dow Jones Institutional News,2023-03-21,12:30:00,1965
  Crypto and Coinbase Bull Run Call. Stock Price Seen Tripling. -- Barrons.com,Dow Jones Institutional News,2023-03-21,11:31:00,691
  Press Release: Valour Expands Product Offering Access in France a Key Market for Expansion,Dow Jones Institutional News,2023-03-21,11:30:00,940
  Press Release: Bitfarms Reports Fourth Quarter and Full Year 2022 Results,Dow Jones Institutional News,2023-03-21,11:03:00,4273
  Fed Faces Toughest Test Yet -- Reducing Inflation Without Breaking the Banks -- Barrons.com,Dow Jones Institutional News,2023-03-21,10:52:00,1971
  Bitcoin Slips but Cryptos Show Signs of Strength With Fed Decision in Focus -- Barrons.com,Dow Jones Institutional News,2023-03-21,10:02:00,748
  Press Release: Cipher Mining Announces Leadership Team Promotions,Dow Jones Institutional News,2023-03-20,20:05:00,1245
  *TeraWulf Announces It Has Deployed BITMAIN Miners at the Nuclear-Powered Nautilus Facility,Dow Jones Institutional News,2023-03-20,12:20:00,1368
  Bitcoin Is Rising After UBS-Credit Suisse Deal -- Barrons.com,Dow Jones Institutional News,2023-03-19,21:14:00,1941
  US Banking Turmoil Unlikely to Hit Consumer Confidence Hard -- Market Talk,Dow Jones Institutional News,2023-03-17,17:19:00,1544
  Two Rate Raises and Fewer Anticipated Cuts Will Support Dollar -- Market Talk,Dow Jones Institutional News,2023-03-17,16:15:00,1535
  Banking Woes Makes BOC Inflation Control More Complex -- Market Talk,Dow Jones Institutional News,2023-03-17,15:36:00,1499
  Treasury Yields Fall as Banking Worries Spur Haven Buying -- Market Talk,Dow Jones Institutional News,2023-03-17,15:26:00,1491
  UK's February Core Service Inflation Could Be Below BOE's Expectations -- Market Talk,Dow Jones Institutional News,2023-03-17,15:07:00,1473
  Japanese Yen Could Further Challenge Dollar as Preferred Safe Haven -- Market Talk,Dow Jones Institutional News,2023-03-17,14:58:00,1479
"  Canada Still Expected to See Mild Recession This Year, Says Scotiabank -- Market Talk",Dow Jones Institutional News,2023-03-17,14:10:00,1481
  Sterling Could Fall as BOE Cautious Despite High Inflation -- Market Talk,Dow Jones Institutional News,2023-03-17,13:58:00,1460
  UK Budget's Pension Changes Are More Material Than Might First Appear -- Market Talk,Dow Jones Institutional News,2023-03-17,13:41:00,1403
                             SVB Fallout Continues With Bankruptcy -- Market Talk,Dow Jones Institutional News,2023-03-17,13:08:00,1393
  US Homes Sales Rise 16.8% in February -- Market Talk,Dow Jones Institutional News,2023-03-17,13:02:00,1426
  Bitcoin Price Jumps to Highest Level Since June -- WSJ,Dow Jones Institutional News,2023-03-17,12:38:00,337
  Bitcoin Rises to 9-Month High as Risk Sentiment Recovers -- Market Talk,Dow Jones Institutional News,2023-03-17,12:16:00,152
  Investors Flee Crypto Funds at Record Rate Despite Bitcoin's Bullish Turn -- Barrons.com,Dow Jones Institutional News,2023-03-17,12:02:00,348
  Bitcoin Rallies Into a New Bull Market. The Case for Crypto Beating the S&P 500. -- Barrons.com,Dow Jones Institutional News,2023-03-17,10:08:00,1417
  Why Buying Bitcoin on the Weekends Is a Costly Idea Now -- Barrons.com,Dow Jones Institutional News,2023-03-17,05:00:00,649
  *Marathon Digital 4Q Loss/Shr $3.14 >MARA,Dow Jones Institutional News,2023-03-16,22:19:00,2468
  Press Release: Hashdex Celebrates Six-Month Anniversary of World's First Bitcoin Futures ETF Registered Solely Under '33 Act by Ringing NYSE...,Dow Jones Institutional News,2023-03-16,12:35:00,2213
  The Best of Bitcoin's Latest Rally Is Over. Watch This Key Level for the Next Move. -- Barrons.com,Dow Jones Institutional News,2023-03-16,09:46:00,674
  Press Release: Justice Department Investigation Leads to Takedown of Darknet Cryptocurrency Mixer that Processed Over $3 Billion of Unlawful...,Dow Jones Institutional News,2023-03-15,15:27:00,1320
  Press Release: Compass Therapeutics Reports Fourth Quarter and Full Year 2022 Financial Results and Provides Business Update,Dow Jones Institutional News,2023-03-15,12:30:00,2049
  Bitcoin on Its Best Winning Streak Since the Last Bull Market. What Comes Next. -- Barrons.com,Dow Jones Institutional News,2023-03-15,09:50:00,620
  Press Release: TeraWulf Addresses U.S. Bank Closures,Dow Jones Institutional News,2023-03-14,17:04:00,854
  Press Release: DMG Blockchain Solutions Reports February Mining Results,Dow Jones Institutional News,2023-03-14,12:33:00,1345
  Press Release: Cipher Mining Provides Fourth Quarter and Full Year 2022 Business Update,Dow Jones Institutional News,2023-03-14,11:00:00,2855
  Bitcoin's Rally Is Back On. The Reason Why Means Tuesday's CPI Data Are a Big Risk. -- Barrons.com,Dow Jones Institutional News,2023-03-14,10:02:00,1438
  Exchange Traded Funds Top 10 Percentage Gainers,Dow Jones Institutional News,2023-03-13,21:36:00,132
"  Press Release: Ault Alliance Subsidiary Achieves Bitcoin Mining Production Milestone of 1,000 Bitcoin Mined to Date at Its Michigan Data...",Dow Jones Institutional News,2023-03-13,18:36:00,606
"  Bitcoin Surges 12%, Binance CEO Pledges to Buy Crypto -- WSJ",Dow Jones Institutional News,2023-03-13,17:23:00,278
  Press Release: INX Announces the Listing of Hashrate Asset Group's (HAG) Bitcoin Mining Security Token,Dow Jones Institutional News,2023-03-13,14:38:00,1433
  Press Release: SAI.TECH Announces Deployment of 420 Bitcoin Mining Machines in Mexico,Dow Jones Institutional News,2023-03-13,14:37:00,413
"  Press Release: Marathon Digital Holdings Responds to Closure of Signature Bank, New York, NY",Dow Jones Institutional News,2023-03-13,14:04:00,812
  Press Release: CME Group Announces First Day of Trading of Event Contracts on Bitcoin Futures,Dow Jones Institutional News,2023-03-13,13:00:00,649
"  Press Release: LM Funding America, Inc. Signs Contract to Host 500 Bitcoin Mining Machines",Dow Jones Institutional News,2023-03-13,12:30:00,600
"  Press Release: Iris Energy Commences 5.5 EH/s Installation and Confirms No Deposits with Silicon Valley Bank, Silvergate Capital, or Signature Bank",Dow Jones Institutional News,2023-03-13,11:57:00,1435
  Bitcoin Soars in Rebound From Bank Crisis Selloff. It May Be Too Good to Be True. -- Barrons.com,Dow Jones Institutional News,2023-03-13,10:42:00,560
  Press Release: Hut 8 Provides Update on Business Combination with USBTC,Dow Jones Institutional News,2023-03-13,10:30:00,1845
  EQS-News: Northern Data releases its February 2023 results for its Mining division,Dow Jones Institutional News,2023-03-13,06:45:00,824
  Crypto Crisis: A Timeline of Key Events -- Update,Dow Jones Institutional News,2023-03-11,11:45:00,921
"  Crypto Crisis Latest: Bitcoin Falls Below $20,000, N.Y. Attorney General Alleges That Ether is a Security and More -- WSJ",Dow Jones Institutional News,2023-03-10,21:30:00,646
"  Bitcoin Plunges Below $20,000 With 'Little Reason to Buy.' It Could Get Worse Fast. -- Barrons.com",Dow Jones Institutional News,2023-03-10,11:04:00,427
"  Crypto Crisis Latest: Fed's Barr Warns Banks on Crypto, Silvergate Stock Plummets, Bitcoin Price and More -- WSJ",Dow Jones Institutional News,2023-03-09,15:45:00,765
  *Mawson Infrastructure's Installed Operational Capacity as of Feb 28 Was 50 Megawatts >MIGI,Dow Jones Institutional News,2023-03-09,13:30:00,1418
  Xapo Bank Becomes the First Bank to Offer Near-Instant Bitcoin Payments On the Lightning Network Powered by Lightspark,Dow Jones Newswires German,2023-03-09,12:22:00,1234
  Press Release: Hut 8 Reports Operating and Financial Results for 2022,Dow Jones Institutional News,2023-03-09,11:30:00,4323
  Bitcoin Is Falling. Its Early 2023 Rally Could Be Just 'A Blip in a Bear Market.' -- Barrons.com,Dow Jones Institutional News,2023-03-09,11:19:00,447
                             Silvergate's Collapse Pushes Crypto Traders Beyond Reach of Regulators. Why It's a Risk. -- Barrons.com,Dow Jones Institutional News,2023-03-09,10:24:00,1087
  Crypto Crisis: A Timeline of Key Events -- WSJ,Dow Jones Institutional News,2023-03-08,22:17:00,866
  Press Release: Marathon Digital Holdings Prepays Term Loan in Whole and Terminates Credit Facilities,Dow Jones Institutional News,2023-03-08,22:16:00,860
  GBTC Discount Narrows to Five-Month Low After Grayscale-SEC Hearing -- WSJ,Dow Jones Institutional News,2023-03-08,16:45:00,185
  Press Release: Core Scientific Announces February 2023 Production and Operations Updates,Dow Jones Institutional News,2023-03-08,14:10:00,1100
  Press Release: TeraWulf Announces February 2023 Production and Operations Updates,Dow Jones Institutional News,2023-03-08,13:10:00,1445
  This Recession Signal Is Flashing Red. Why Stock Traders Aren't Panicking. -- Barrons.com,Dow Jones Institutional News,2023-03-08,11:41:00,2161
  Bitcoin Falls as Cryptos Get Pinched From All Sides. Key Price Levels Are at Risk. -- Barrons.com,Dow Jones Institutional News,2023-03-08,10:49:00,1175
  *Zymeworks 4Q EPS $4.65 >ZYME,Dow Jones Institutional News,2023-03-07,21:05:00,4165
  Largest Bitcoin Fund Soars as Judges Raise Hope for Investor Payday -- Barrons.com,Dow Jones Institutional News,2023-03-07,19:01:00,749
                             Grayscale Bitcoin Trust Rises as SEC Case Starts -- WSJ,Dow Jones Institutional News,2023-03-07,18:30:00,392
  Bitcoin Falls Slightly Amid Silvergate Worries -- Market Talk,Dow Jones Institutional News,2023-03-07,15:43:00,127
  Press Release: Iris Energy Announces Monthly Investor Update for February 2023,Dow Jones Institutional News,2023-03-07,12:19:00,2986
  Press Release: Hut 8 Mining Production and Operations Update for February 2023,Dow Jones Institutional News,2023-03-07,11:30:00,1474
                             Silvergate's Crisis May Mark Bitcoin's Near-Term Top. Brace for a Bumpy Ride. -- Barrons.com,Dow Jones Institutional News,2023-03-07,11:03:00,588
  Press Release: Canaan Inc. Reports Unaudited Fourth Quarter and Full Year 2022 Financial Results,Dow Jones Institutional News,2023-03-07,10:15:00,6122
"  Press Release: Bit Digital, Inc. Announces Monthly Production Update for February 2023",Dow Jones Institutional News,2023-03-06,22:00:00,851
"                             FTX's Alameda Research Sues Grayscale Over Fees, Redemptions -- WSJ",Dow Jones Institutional News,2023-03-06,21:02:00,427
  Press Release: TeraWulf Announces Energization and Rapid Deployment of Mining Operations at the Nautilus Facility in Pennsylvania,Dow Jones Institutional News,2023-03-06,13:20:00,1177
  Bitcoin Pauses Amid Crypto Bank Pressures. Analysts Eye a 'Death Cross' With Caution. -- Barrons.com,Dow Jones Institutional News,2023-03-06,11:06:00,471
  Press Release: ODoge Solidifies its Place in Bitcoin and Memecoin History with Acquisition of First-ever DOGE Ordinal for 10BTC,Dow Jones Institutional News,2023-03-04,23:00:00,903
  ODoge Solidifies its Place in Bitcoin and Memecoin History with Acquisition of First-ever DOGE Ordinal for 10BTC,Dow Jones Institutional News,2023-03-04,23:00:00,901
  Press Release: Riot Announces February 2023 Production and Operations Updates,Dow Jones Institutional News,2023-03-03,14:00:00,1336
  Bitcoin Tumbles as Silvergate Fears Wipe Out Bullish Crypto Traders -- Barrons.com,Dow Jones Institutional News,2023-03-03,10:58:00,1179
"  Press Release: Riot Reports Full Year 2022 Financial Results, Current Operational and Financial Highlights",Dow Jones Institutional News,2023-03-02,22:00:00,3970
  Press Release: Marathon Digital Holdings Announces Bitcoin Production and Mining Operation Updates for February 2023,Dow Jones Institutional News,2023-03-02,21:14:00,1405
  Press Release: CleanSpark Releases February 2023 Bitcoin Mining Update,Dow Jones Institutional News,2023-03-02,14:00:00,1221
  Press Release: Digihost Provides February 2023 Production Update,Dow Jones Institutional News,2023-03-02,11:04:00,1169
  Bitcoin Is Falling. Traders May Be Eyeing Trouble at Another Crypto Industry Giant. -- Barrons.com,Dow Jones Institutional News,2023-03-02,10:55:00,368
  Press Release: TeraWulf Announces Closing of $28 Million Underwritten Equity Offering and Over-Allotment Option,Dow Jones Institutional News,2023-03-01,21:18:00,984
  Press Release: Cipher Mining Announces February 2023 Operational Update,Dow Jones Institutional News,2023-03-01,21:10:00,1087
  *Jazz Pharmaceuticals 4Q Loss/Shr $3.82 >JAZZ,Dow Jones Institutional News,2023-03-01,21:05:00,9152
  Press Release: LQwD Becomes First Third-Party Lighting Service Provider with Leading Lightning Network Wallet,Dow Jones Institutional News,2023-03-01,16:58:00,601
  BitCard® and Blackhawk Network (BHN) to Offer Bitcoin Gift Cards at Select U.S. Retailers,Dow Jones Institutional News,2023-03-01,16:08:00,568
  Bitcoin Starts March on the Right Foot. History Says It May Not End That Way. -- Barrons.com,Dow Jones Institutional News,2023-03-01,12:58:00,505
"  Press Release: Bitfarms Mines 387 BTC in February, Exceeding 20,000 BTC",Dow Jones Institutional News,2023-03-01,12:11:00,2183
  *Ault Alliance Subsidiary Acquires Two Land Lease Agreements and Two Power Purchase Agreements in Montana From TypeX to Expand Bitcoin...,Dow Jones Institutional News,2023-03-01,11:42:00,1080
  Press Release: Marathon Digital Holdings Cancels Conference Call and Postpones Publication of Fourth Quarter and Fiscal Year 2022 Financial Results,Dow Jones Institutional News,2023-02-28,17:21:00,612
"  Bitcoin Stalls Below $24,000. But Long-Term Crypto Holders Are Still Buying. -- Barrons.com",Dow Jones Institutional News,2023-02-28,10:24:00,526
"  Crypto Miner, Creditors Clash On the Role of Shareholders -- WSJ",Dow Jones Institutional News,2023-02-28,07:32:00,554
  Press Release: TeraWulf Sets Date for Fourth Quarter and Full Year 2022 Earnings Conference Call,Dow Jones Institutional News,2023-02-27,21:27:00,880
  Press Release: Vortex Announces Investment Campaign To Expand Its Bitcoin Mining Capabilities,Dow Jones Institutional News,2023-02-27,14:30:00,989
  Bullet Blockchain Announces First Patent Licensing Agreement With New Bitcoin ATM Kiosk Manufacturing Partner in USA,Dow Jones Institutional News,2023-02-27,13:42:00,1401
  Press Release: Bullet Blockchain Announces First Patent Licensing Agreement With New Bitcoin ATM Kiosk Manufacturing Partner in USA,Dow Jones Institutional News,2023-02-27,13:42:00,1268
"  Bitcoin Rallies From Below $23,000 After Inflation-Data Stumble -- Barrons.com",Dow Jones Institutional News,2023-02-27,10:10:00,210
  Press Release: ARGO DEADLINE NOTICE: Securities Litigation Partner James (Josh) Wilson Encourages Investors Who Suffered Losses Exceed...,Dow Jones Institutional News,2023-02-25,12:00:00,1210
  Bitcoin's $7 Billion Sunken Treasure -- Barron's,Dow Jones Institutional News,2023-02-25,02:30:00,1117
"  Bitcoin Slips Below $24,000 as Crypto Traders Eye PCE Inflation Data -- Barrons.com",Dow Jones Institutional News,2023-02-24,10:53:00,522
  Satoshi Nakamoto's Last Unfinished Project Inspires This New Online Marketplace Disruptor In The Crypto Space,Dow Jones Institutional News,2023-02-23,17:27:00,524
  Bitcoin Is Rising and May Hit the Highest Level in Months. But Stocks Must Cooperate. -- Barrons.com,Dow Jones Institutional News,2023-02-23,10:52:00,352
  This Bitcoin Fund Has Another $7 Billion of Untapped Value. Too Bad Investors Can't Get to It. -- Barrons.com,Dow Jones Institutional News,2023-02-23,05:30:00,1090
  Tighter Financing Seen As Threat to Frontier Markets -- Market Talk,Dow Jones Institutional News,2023-02-22,18:56:00,1499
  Debt-Ceiling Gridlock Expected to Hurt Markets If Unresolved -- Market Talk,Dow Jones Institutional News,2023-02-22,18:23:00,1504
  Bitcoin Soars Over USD25K and MEXC (MX) Hits Intra-Year High,Dow Jones Institutional News,2023-02-22,18:17:00,573
  Agnico's Production Guidance Helps Prompt Lower Price Target At CIBC -- Market Talk,Dow Jones Institutional News,2023-02-22,18:10:00,1519
  European Stocks Mostly Lower as Traders Await Fed Minutes -- Market Talk,Dow Jones Institutional News,2023-02-22,17:07:00,1515
  Reaction to Minutes Expected to Be Reflected in FedWatch Tool -- Market Talk,Dow Jones Institutional News,2023-02-22,17:02:00,1515
  Markets Expected To Feel Pressure If Minutes Point To Higher Hikes -- Market Talk,Dow Jones Institutional News,2023-02-22,16:58:00,1487
  Inflation Expected to Decline at Slower Pace -- Market Talk,Dow Jones Institutional News,2023-02-22,16:53:00,1502
  Canadian Dollar May Struggle to Rise Materially in Near Term -- Market Talk,Dow Jones Institutional News,2023-02-22,16:43:00,1500
  Improving Supply Chain Could Bring Inflation Below 4% -- Market Talk,Dow Jones Institutional News,2023-02-22,15:36:00,1491
  Pound May Fall as BOE Risks Ending Inflation Fight Too Soon -- Market Talk,Dow Jones Institutional News,2023-02-22,15:23:00,1509
  UK Gilt Remit Expected to Decline to GBP246 Bln in FY2023-24 -- Market Talk,Dow Jones Institutional News,2023-02-22,15:03:00,1532
  Bitcoin Falls Ahead of Fed Minutes -- Market Talk,Dow Jones Institutional News,2023-02-22,14:48:00,136
  Press Release: Bitcoin Depot Completes Software Conversion to Bitaccess Across Full Bitcoin ATM Fleet,Dow Jones Institutional News,2023-02-22,13:30:00,2144
  Bitcoin Drops as Stocks Drag Down Cryptos. Just Wait for the Fed Minutes. -- Barrons.com,Dow Jones Institutional News,2023-02-22,11:02:00,371
  Prolific Bitcoin Developer Marco Falke to Step Back -- WSJ,Dow Jones Institutional News,2023-02-21,18:30:00,336
  Press Release: Athena Bitcoin Global Joins the Bitcoin Association of El Salvador (ASOBITCOIN) as Initial Member,Dow Jones Institutional News,2023-02-21,14:00:00,750
                             Athena Bitcoin Global Joins the Bitcoin Association of El Salvador (ASOBITCOIN) as Initial Member,Dow Jones Institutional News,2023-02-21,14:00:00,748
"  Some FTX Customers Get Their Money Back -- in Japan, at Least -- WSJ",Dow Jones Institutional News,2023-02-21,11:46:00,1915
  Press Release: Hut 8 advances its goal of achieving carbon neutrality by 2025 through innovative recycling program,Dow Jones Institutional News,2023-02-21,11:30:00,1666
  Bitcoin Slips. There Are Signs Its Recent Rally Could Be Losing Steam. -- Barrons.com,Dow Jones Institutional News,2023-02-21,10:40:00,444
  Press Release: Marathon Digital Holdings Schedules Conference Call for Fourth Quarter and Fiscal Year 2022 Financial Results,Dow Jones Institutional News,2023-02-20,21:05:00,758
  Press Release: Webtel.mobi and WM Holdings Inc. issue Joint Clarification on recent approaches by Digital Currency Group's Grayscale Bitcoin Trust Stakeholders,Dow Jones Institutional News,2023-02-20,11:47:00,2148
"  Bitcoin Rises to Near $25,000. It Needs to Clear Key Levels Next to Keep the Rally Going. -- Barrons.com",Dow Jones Institutional News,2023-02-20,10:36:00,492
  Press Release: The Iconic Bored Ape Yacht Club to be Released as a Bitcoin NFT collection,Dow Jones Institutional News,2023-02-17,15:00:00,527
  *Mawson Infrastructure Installed Operational Capacity as of Jan 31 Was 50 Megawatts Across Bitcoin Self-Mining and Hosting Co-locations >MIGI,Dow Jones Institutional News,2023-02-17,13:30:00,1397
"  Press Release: BIT Mining Limited Announces Unaudited Financial Results for the Fourth Quarter and Full Year ended December 31, 2022",Dow Jones Institutional News,2023-02-17,11:00:00,5614
  Bitcoin Is Falling as Investor Sentiment Sours Over Rate Hikes. Where the Slide Could Stop. -- Barrons.com,Dow Jones Institutional News,2023-02-17,10:41:00,436
  Tiny Group of Coders Is Critical to Bitcoin -- WSJ,Dow Jones Institutional News,2023-02-17,07:33:00,2503
  Bitcoin's Future Depends on Six Mysterious Coders -- WSJ,Dow Jones Institutional News,2023-02-16,16:15:00,2407
"  NORWEGIAN BLOCK EX: Nbx, The Norwegian Cryptocurrency Exchange And Custodian, Partners With Blockbridge To Launch A Bitcoin Atm In Oslo",Dow Jones Institutional News,2023-02-16,15:40:00,372
"  Crypto Crisis: Banks Back Away From Crypto Companies, Crypto Stocks and Bitcoin Prices Rally -- WSJ",Dow Jones Institutional News,2023-02-16,14:15:00,396
"  Press Release: CleanSpark Announces Purchase of 20,000 New Latest Generation Mining Machines",Dow Jones Institutional News,2023-02-16,14:01:00,1339
  Berkshire's Charlie Munger Praises China for Banning 'Worthless' Bitcoin -- Barrons.com,Dow Jones Institutional News,2023-02-16,12:54:00,436
  Press Release: Bitcoin Well Reports 2022 Financial Results and Announces Closing of Secured Debenture,Dow Jones Institutional News,2023-02-16,12:14:00,1746
  Bitcoin Soars to 6-Month Highs. If the Rally Is to Continue Watch This Price Level. -- Barrons.com,Dow Jones Institutional News,2023-02-16,10:57:00,520
                             Iris Energy Shares 15% Lower After 2Q Bitcoin Mining Rev Falls,Dow Jones Institutional News,2023-02-15,23:19:00,226
  Press Release: Iris Energy Reports Second Quarter FY23 Results,Dow Jones Institutional News,2023-02-15,21:40:00,2824
  Press Release: Akerna Provides Update on Recently Announced Transactions,Dow Jones Institutional News,2023-02-15,11:03:00,1575
  Cryptos Are Rallying as Stocks Slide. But Bitcoin May Be 'Re-entering a Slumber.' -- Barrons.com,Dow Jones Institutional News,2023-02-15,10:32:00,450
  PEGA Pool Announces the Official Launch of Its Eco-friendly Bitcoin Mining Pool,Dow Jones Newswires German,2023-02-14,16:00:00,703
  Press Release: CME Group to Launch Event Contracts on Bitcoin Futures on March 13,Dow Jones Institutional News,2023-02-14,14:00:00,621
  Press Release: Bicycle Therapeutics Announces Phase I Dose Escalation Results from Ongoing Phase I/II Study of BT8009,Dow Jones Institutional News,2023-02-14,11:59:00,2212
"  Bitcoin Hovers Below $22,000 as Regulatory Scrutiny Weighs and CPI Data Loom -- Barrons.com",Dow Jones Institutional News,2023-02-14,11:02:00,1110
  Press Release: GSR II Meteora Acquisition Corp. Announces Update on Proxy Statement for Proposed Business Combination with Bitcoin Depot                        ,Dow Jones Institutional News,2023-02-13,22:37:00,1699
  Press Release: Iris Energy Increases Self-Mining Capacity From 2.0 EH/s to 5.5 EH/s,Dow Jones Institutional News,2023-02-13,12:08:00,1825
  Press Release: Hut 8 Mining Production and Operations Update for January 2023,Dow Jones Institutional News,2023-02-13,11:30:00,1602
  Bitcoin Falls With Regulatory Fears in Focus. Inflation Data Could Bring a Different Shock. -- Barrons.com,Dow Jones Institutional News,2023-02-13,10:52:00,386
