heading,news_provider,date,time,wordcount
  TwelveFold to Voodling: Milkcrate's Entry in the Bitcoin Ordinals Movement is One to Watch,Dow Jones Institutional News,2023-03-28,17:30:00,545
  Press Release: TwelveFold to Voodling: Milkcrate's Entry in the Bitcoin Ordinals Movement is One to Watch,Dow Jones Institutional News,2023-03-28,17:30:00,547
  Demetri Kofinas on 'Financial Nihilism',Barron's Podcasts,2023-03-28,17:20:00,7883
  The New York Couple Behind El Salvador's Bitcoin Experiment; Former Russia state TV hosts advise government and have crypto investments in...,The Wall Street Journal Online,2023-03-28,14:33:00,1348
  *Former Russia State TV Hosts Advise El Salvador on Bitcoin Adoption -- WSJ,Dow Jones Institutional News,2023-03-28,14:33:00,1372
"                             Ric Edelman Talks Bitcoin, Digital Assets and Wealth Management",Barron's Podcasts,2023-03-28,14:15:00,8597
                             MicroStrategy Has Rallied With Bitcoin. It Bought Crypto—and Sold Stock.,Barron's Online,2023-03-28,13:01:00,452
                             MicroStrategy Has Rallied With Bitcoin. It Bought Crypto -- and Sold Stock. -- Barrons.com,Dow Jones Institutional News,2023-03-28,12:56:00,494
  Bitcoin and Other Cryptos Fall. It's Not All Because of Binance.,Barron's Online,2023-03-28,12:52:00,611
"  Press Release: Bitcoin Well Launches Bitcoin Well Infinite and Expands to USA, With Other Updates",Dow Jones Institutional News,2023-03-28,12:04:00,1283
"  Press Release: Galaxy Announces Fourth Quarter, Full Year 2022 Financial Results and Preliminary Results for the First Quarter to Date",Dow Jones Institutional News,2023-03-28,11:00:00,6136
  Press Release: Hut 8 provides update on North Bay Facility,Dow Jones Institutional News,2023-03-28,10:30:00,1280
  Bitcoin and Other Cryptos Fall. It's Not All Because of Binance. -- Barrons.com,Dow Jones Institutional News,2023-03-28,09:27:00,458
"                             Microstrategy pays off $205 million Silvergate loan, buys $150 million worth of bitcoin: SEC filing; Loan paid off at 22% discount, according to filing",MarketWatch,2023-03-27,18:22:00,315
"                             MicroStrategy Snaps Up More Bitcoins, Pays Off Silvergate Loan -- WSJ",Dow Jones Institutional News,2023-03-27,15:45:00,281
                             Silvergate Takes $44 Million Loss on Bitcoin Loan -- WSJ,Dow Jones Institutional News,2023-03-27,12:59:00,232
  Bitcoin's Rally Stalls. Crypto Traders May Wait Until Friday for a Big Move.,Barron's Online,2023-03-27,12:25:00,504
  Bitcoin's Rally Stalls. Crypto Traders May Wait Until Friday for a Big Move. -- Barrons.com,Dow Jones Institutional News,2023-03-27,09:23:00,538
"  Bitcoin Price Slips, but Conditions for 'Crypto to Thrive Remain Intact'",Barron's Online,2023-03-25,17:06:00,341
  Press Release: Quarterly Cash Dividend Announced By Vortex Brands from Bitcoin Mining Operations,Dow Jones Institutional News,2023-03-24,13:30:00,590
"  Bitcoin Rises With $30,000 in Sight. The Weekend Could Bring the Wildest Moves.",Barron's Online,2023-03-24,12:28:00,727
"  Bitcoin Rises With $30,000 in Sight. The Weekend Could Bring the Wildest Moves. -- Barrons.com",Dow Jones Institutional News,2023-03-24,09:47:00,456
  EQS-News: Samara Asset Group has changed its Ticker Symbol to SRAGv,Dow Jones Institutional News,2023-03-24,07:30:00,819
  *Mawson Infrastructure 4Q Rev $16.8M >MIGI,Dow Jones Institutional News,2023-03-23,20:07:00,1298
"  Crypto will be 'over' in the U.S. if Coinbase loses battle with SEC, this industry participant says. Here's why",MarketWatch,2023-03-23,19:36:00,1295
"  Bitcoin, Crypto Retreat as Stock Markets Rise -- WSJ",Dow Jones Institutional News,2023-03-23,14:21:00,204
  Press Release: CleanSpark Releases ESG and Corporate Responsibility Report,Dow Jones Institutional News,2023-03-23,13:00:00,1046
  Press Release: Iris Energy provides 5.5 EH/s installation update,Dow Jones Institutional News,2023-03-23,11:05:00,1537
  Bitcoin Edges Lower. Crypto Traders Pause Before Another Rally. -- Barrons.com,Dow Jones Institutional News,2023-03-23,09:38:00,380
  Bitcoin Edges Lower. Crypto Traders Pause Before Another Rally.,Barron's Online,2023-03-23,09:38:00,338
                             Binance Charging Fees for Bitcoin Trading Again -- WSJ,Dow Jones Institutional News,2023-03-22,20:58:00,310
  Decoding the Information in Emotions to Unlock Performance,Barron's Podcasts,2023-03-22,20:55:00,8941
  Bitcoin tanks after Fed chair Powell said interest rate cuts in 2023 are not likely,MarketWatch,2023-03-22,20:37:00,308
  One S&P 500 Stock Is Beating Bitcoin This Year. It's Not Tesla or Meta.,Barron's Online,2023-03-22,17:40:00,392
  One S&P 500 Stock Is Beating Bitcoin This Year. It's Not Tesla or Meta. -- Barrons.com,Dow Jones Institutional News,2023-03-22,17:40:00,435
  Press Release: Navier brings Bitcoin mining to Ethereum with Reactor.xyz Marketplace,Dow Jones Institutional News,2023-03-22,13:46:00,548
"  Press Release: Bit Digital Announces Strategic Executive Leadership Realignment, Advisory Board and Strategic Priorities for 2023",Dow Jones Institutional News,2023-03-22,12:15:00,2431
  Bitcoin Rises Ahead of Fed Decision. Expect Prices to Push Higher.,Barron's Online,2023-03-22,12:14:00,665
  Coinbase Stock Sees a Record Winning Streak. Americans Are Bullish on Crypto Again. -- Barrons.com,Dow Jones Institutional News,2023-03-22,11:58:00,611
  Coinbase Stock Sees a Record Winning Streak. Americans Are Bullish on Crypto Again.,Barron's Online,2023-03-22,11:58:00,569
  Press Release: Ault Alliance Provides 2023 Revenue Guidance of More Than $200 Million,Dow Jones Institutional News,2023-03-22,10:30:00,906
  Bitcoin Rises Ahead of Fed Decision. Crypto Traders Are Poised to Push Prices Higher. -- Barrons.com,Dow Jones Institutional News,2023-03-22,10:07:00,701
  Bitcoin Receives a Boost From the Turbulence in Banking -- WSJ,Dow Jones Institutional News,2023-03-22,06:32:00,997
  Bitcoin Booms in Wake of Bank Crisis; The world's largest cryptocurrency has risen almost 70% so far this year,The Wall Street Journal Online,2023-03-21,19:04:00,963
  Bitcoin Slips. The Fed Decision Will Be a Key Moment for Cryptos.,Barron's Online,2023-03-21,16:26:00,705
  Bitcoin Booms on Back of Bank Crisis -- WSJ,Dow Jones Institutional News,2023-03-21,15:36:00,953
  Press Release: Leading Bitcoin ATM Operator Bitcoin Depot Announces Retail Partnership with GetGo(R) Café + Market,Dow Jones Institutional News,2023-03-21,12:30:00,1965
                             Coinbase Is in 'New Crypto Bull Market.' Stock Price Seen Tripling.,Barron's Online,2023-03-21,11:31:00,634
  Crypto and Coinbase Bull Run Call. Stock Price Seen Tripling. -- Barrons.com,Dow Jones Institutional News,2023-03-21,11:31:00,691
  Press Release: Valour Expands Product Offering Access in France a Key Market for Expansion,Dow Jones Institutional News,2023-03-21,11:30:00,940
  Press Release: Bitfarms Reports Fourth Quarter and Full Year 2022 Results,Dow Jones Institutional News,2023-03-21,11:03:00,4273
  Fed Faces Toughest Test Yet—Reducing Inflation Without Breaking the Banks,Barron's Online,2023-03-21,10:53:00,1917
  Fed Faces Toughest Test Yet -- Reducing Inflation Without Breaking the Banks -- Barrons.com,Dow Jones Institutional News,2023-03-21,10:52:00,1971
  Bitcoin Slips but Cryptos Show Signs of Strength With Fed Decision in Focus -- Barrons.com,Dow Jones Institutional News,2023-03-21,10:02:00,748
  Press Release: Cipher Mining Announces Leadership Team Promotions,Dow Jones Institutional News,2023-03-20,20:05:00,1245
"  Bitcoin at 'redemption arc' as banking pressures rise, says AllianceBernstein                        ",MarketWatch,2023-03-20,16:43:00,458
  5 Reasons Bitcoin Is Soaring Amid the Bank Panic. One Is Key for Stocks.,Barron's Online,2023-03-20,12:35:00,1033
  *TeraWulf Announces It Has Deployed BITMAIN Miners at the Nuclear-Powered Nautilus Facility,Dow Jones Institutional News,2023-03-20,12:20:00,1368
  Bitcoin Is Rising After UBS-Credit Suisse Deal -- Barrons.com,Dow Jones Institutional News,2023-03-19,21:14:00,1941
  Bank sector stress may provide a bullish case for cryptocurrencies. Here's how,MarketWatch,2023-03-18,18:53:00,1031
  US Banking Turmoil Unlikely to Hit Consumer Confidence Hard -- Market Talk,Dow Jones Institutional News,2023-03-17,17:19:00,1544
  Two Rate Raises and Fewer Anticipated Cuts Will Support Dollar -- Market Talk,Dow Jones Institutional News,2023-03-17,16:15:00,1535
  Banking Woes Makes BOC Inflation Control More Complex -- Market Talk,Dow Jones Institutional News,2023-03-17,15:36:00,1499
  Treasury Yields Fall as Banking Worries Spur Haven Buying -- Market Talk,Dow Jones Institutional News,2023-03-17,15:26:00,1491
  UK's February Core Service Inflation Could Be Below BOE's Expectations -- Market Talk,Dow Jones Institutional News,2023-03-17,15:07:00,1473
  Japanese Yen Could Further Challenge Dollar as Preferred Safe Haven -- Market Talk,Dow Jones Institutional News,2023-03-17,14:58:00,1479
  Investors Flee Crypto Funds at Record Rate Despite Bitcoin's Bullish Turn,Barron's Online,2023-03-17,14:24:00,401
"  Bitcoin soars past $26,000 after SVB starts bankruptcy filing",MarketWatch,2023-03-17,14:21:00,298
"  Canada Still Expected to See Mild Recession This Year, Says Scotiabank -- Market Talk",Dow Jones Institutional News,2023-03-17,14:10:00,1481
  Bitcoin Rallies Into a New Bull Market. The Case for Crypto Beating the S&P 500.,Barron's Online,2023-03-17,14:08:00,707
  Sterling Could Fall as BOE Cautious Despite High Inflation -- Market Talk,Dow Jones Institutional News,2023-03-17,13:58:00,1460
  UK Budget's Pension Changes Are More Material Than Might First Appear -- Market Talk,Dow Jones Institutional News,2023-03-17,13:41:00,1403
                             SVB Fallout Continues With Bankruptcy -- Market Talk,Dow Jones Institutional News,2023-03-17,13:08:00,1393
  US Homes Sales Rise 16.8% in February -- Market Talk,Dow Jones Institutional News,2023-03-17,13:02:00,1426
  Avoid Buying Bitcoin on Weekends Now. It Could Save You Some Money.,Barron's Online,2023-03-17,12:42:00,617
  Bitcoin Price Jumps to Highest Level Since June -- WSJ,Dow Jones Institutional News,2023-03-17,12:38:00,337
  Bitcoin Rises to 9-Month High as Risk Sentiment Recovers -- Market Talk,Dow Jones Institutional News,2023-03-17,12:16:00,152
  Investors Flee Crypto Funds at Record Rate Despite Bitcoin's Bullish Turn -- Barrons.com,Dow Jones Institutional News,2023-03-17,12:02:00,348
  Bitcoin Rallies Into a New Bull Market. The Case for Crypto Beating the S&P 500. -- Barrons.com,Dow Jones Institutional News,2023-03-17,10:08:00,1417
  Why Buying Bitcoin on the Weekends Is a Costly Idea Now -- Barrons.com,Dow Jones Institutional News,2023-03-17,05:00:00,649
  *Marathon Digital 4Q Loss/Shr $3.14 >MARA,Dow Jones Institutional News,2023-03-16,22:19:00,2468
  Press Release: Hashdex Celebrates Six-Month Anniversary of World's First Bitcoin Futures ETF Registered Solely Under '33 Act by Ringing NYSE...,Dow Jones Institutional News,2023-03-16,12:35:00,2213
  The Best of Bitcoin's Latest Rally Is Over. Watch This Key Level for the Next Move.,Barron's Online,2023-03-16,12:34:00,626
  The Best of Bitcoin's Latest Rally Is Over. Watch This Key Level for the Next Move. -- Barrons.com,Dow Jones Institutional News,2023-03-16,09:46:00,674
"  Bitcoin dips below $25,000 after rally",MarketWatch,2023-03-15,15:33:00,327
  Press Release: Justice Department Investigation Leads to Takedown of Darknet Cryptocurrency Mixer that Processed Over $3 Billion of Unlawful...,Dow Jones Institutional News,2023-03-15,15:27:00,1320
  GBTC jumps this week while Grayscale CEO 'encouraged' after oral arguments in court battle with SEC over spot bitcoin ETF; Bitcoin prices...,MarketWatch,2023-03-15,14:24:00,673
  Bitcoin Is on Its Best Winning Streak Since the Last Bull Market. What Comes Next.,Barron's Online,2023-03-15,12:47:00,579
  Press Release: Compass Therapeutics Reports Fourth Quarter and Full Year 2022 Financial Results and Provides Business Update,Dow Jones Institutional News,2023-03-15,12:30:00,2049
  Bitcoin on Its Best Winning Streak Since the Last Bull Market. What Comes Next. -- Barrons.com,Dow Jones Institutional News,2023-03-15,09:50:00,620
"  Here's why bitcoin is rallying after collapse of Silvergate, SVB and Signature",MarketWatch,2023-03-14,17:55:00,627
  Press Release: TeraWulf Addresses U.S. Bank Closures,Dow Jones Institutional News,2023-03-14,17:04:00,854
                             Coinbase and other crypto stocks surge as bitcoin pops; Bitcoin-mining names are also enjoying a big Tuesday rally,MarketWatch,2023-03-14,14:52:00,290
  The Crypto Rally Is Back On. CPI Data Just Pushed Bitcoin to Its Highest Price Since Last June.,Barron's Online,2023-03-14,13:36:00,775
  Press Release: DMG Blockchain Solutions Reports February Mining Results,Dow Jones Institutional News,2023-03-14,12:33:00,1345
  Press Release: Cipher Mining Provides Fourth Quarter and Full Year 2022 Business Update,Dow Jones Institutional News,2023-03-14,11:00:00,2855
  Bitcoin's Rally Is Back On. The Reason Why Means Tuesday's CPI Data Are a Big Risk. -- Barrons.com,Dow Jones Institutional News,2023-03-14,10:02:00,1438
  Exchange Traded Funds Top 10 Percentage Gainers,Dow Jones Institutional News,2023-03-13,21:36:00,132
"  Press Release: Ault Alliance Subsidiary Achieves Bitcoin Mining Production Milestone of 1,000 Bitcoin Mined to Date at Its Michigan Data...",Dow Jones Institutional News,2023-03-13,18:36:00,606
"  Bitcoin Surges 12%, Binance CEO Pledges to Buy Crypto -- WSJ",Dow Jones Institutional News,2023-03-13,17:23:00,278
  Press Release: INX Announces the Listing of Hashrate Asset Group's (HAG) Bitcoin Mining Security Token,Dow Jones Institutional News,2023-03-13,14:38:00,1433
  Press Release: SAI.TECH Announces Deployment of 420 Bitcoin Mining Machines in Mexico,Dow Jones Institutional News,2023-03-13,14:37:00,413
"  Press Release: Marathon Digital Holdings Responds to Closure of Signature Bank, New York, NY",Dow Jones Institutional News,2023-03-13,14:04:00,812
"  The euro and bitcoin look set to resume their rallies, says noted technical analyst DeMark",MarketWatch,2023-03-13,13:15:00,287
  Press Release: CME Group Announces First Day of Trading of Event Contracts on Bitcoin Futures,Dow Jones Institutional News,2023-03-13,13:00:00,649
"  Press Release: LM Funding America, Inc. Signs Contract to Host 500 Bitcoin Mining Machines",Dow Jones Institutional News,2023-03-13,12:30:00,600
"  Press Release: Iris Energy Commences 5.5 EH/s Installation and Confirms No Deposits with Silicon Valley Bank, Silvergate Capital, or Signature Bank",Dow Jones Institutional News,2023-03-13,11:57:00,1435
  Bitcoin Soars in Rebound From Bank Crisis Selloff. It May Be Too Good to Be True.,Barron's Online,2023-03-13,11:26:00,787
  Bitcoin Soars in Rebound From Bank Crisis Selloff. It May Be Too Good to Be True. -- Barrons.com,Dow Jones Institutional News,2023-03-13,10:42:00,560
  Press Release: Hut 8 Provides Update on Business Combination with USBTC,Dow Jones Institutional News,2023-03-13,10:30:00,1845
  EQS-News: Northern Data releases its February 2023 results for its Mining division,Dow Jones Institutional News,2023-03-13,06:45:00,824
  Crypto Crisis: A Timeline of Key Events -- Update,Dow Jones Institutional News,2023-03-11,11:45:00,921
"  Crypto Crisis Latest: Bitcoin Falls Below $20,000, N.Y. Attorney General Alleges That Ether is a Security and More -- WSJ",Dow Jones Institutional News,2023-03-10,21:30:00,646
"  Want to avoid crypto scams? The FTC says do these three things; Bitcoin prices tumbled below $20,000 on Friday",MarketWatch,2023-03-10,18:59:00,439
"  Why is bitcoin tanking? Besides Silicon Valley Bank and Silvergate's collapses, here are other reasons",MarketWatch,2023-03-10,18:34:00,481
"  Bitcoin Plunges to $20,000 With 'Little Reason to Buy.' It Could Get Worse Fast.",Barron's Online,2023-03-10,17:19:00,510
"  Bitcoin Plunges Below $20,000 With 'Little Reason to Buy.' It Could Get Worse Fast. -- Barrons.com",Dow Jones Institutional News,2023-03-10,11:04:00,427
"  Bitcoin tumbles, as Silvergate Bank's collapse highlights the biggest threat to U.S. crypto industry",MarketWatch,2023-03-09,22:50:00,1236
"  Crypto Crisis Latest: Fed's Barr Warns Banks on Crypto, Silvergate Stock Plummets, Bitcoin Price and More -- WSJ",Dow Jones Institutional News,2023-03-09,15:45:00,765
  *Mawson Infrastructure's Installed Operational Capacity as of Feb 28 Was 50 Megawatts >MIGI,Dow Jones Institutional News,2023-03-09,13:30:00,1418
  Xapo Bank Becomes the First Bank to Offer Near-Instant Bitcoin Payments On the Lightning Network Powered by Lightspark,Dow Jones Newswires German,2023-03-09,12:22:00,1234
  Press Release: Hut 8 Reports Operating and Financial Results for 2022,Dow Jones Institutional News,2023-03-09,11:30:00,4323
  Bitcoin Is Falling. Its Early 2023 Rally Could Be Just 'A Blip in a Bear Market.' -- Barrons.com,Dow Jones Institutional News,2023-03-09,11:19:00,447
  Bitcoin Is Falling. Its Early 2023 Rally Could Be Just 'A Blip in a Bear Market.',Barron's Online,2023-03-09,11:19:00,405
  Collapse of Silvergate Bank Pushes Crypto Traders Beyond Reach of Regulators. Why It's a Risk.,Barron's Online,2023-03-09,10:32:00,1044
                             Silvergate's Collapse Pushes Crypto Traders Beyond Reach of Regulators. Why It's a Risk. -- Barrons.com,Dow Jones Institutional News,2023-03-09,10:24:00,1087
  Crypto Crisis: A Timeline of Key Events -- WSJ,Dow Jones Institutional News,2023-03-08,22:17:00,866
  Press Release: Marathon Digital Holdings Prepays Term Loan in Whole and Terminates Credit Facilities,Dow Jones Institutional News,2023-03-08,22:16:00,860
  GBTC Discount Narrows to Five-Month Low After Grayscale-SEC Hearing -- WSJ,Dow Jones Institutional News,2023-03-08,16:45:00,185
  Press Release: Core Scientific Announces February 2023 Production and Operations Updates,Dow Jones Institutional News,2023-03-08,14:10:00,1100
  Bitcoin's Price Falls. Cryptos Are Getting Pinched From All Sides.,Barron's Online,2023-03-08,14:04:00,557
  Press Release: TeraWulf Announces February 2023 Production and Operations Updates,Dow Jones Institutional News,2023-03-08,13:10:00,1445
  This Recession Signal Is Flashing Red. Why Stock Traders Aren't Panicking. -- Barrons.com,Dow Jones Institutional News,2023-03-08,11:41:00,2161
  This Recession Signal Is Flashing Red. Why Stock Traders Aren't Panicking.,Barron's Online,2023-03-08,11:41:00,2106
  Bitcoin Falls as Cryptos Get Pinched From All Sides. Key Price Levels Are at Risk. -- Barrons.com,Dow Jones Institutional News,2023-03-08,10:49:00,1175
  *Zymeworks 4Q EPS $4.65 >ZYME,Dow Jones Institutional News,2023-03-07,21:05:00,4165
  Largest Bitcoin Fund Soars as Judges Raise Hope for Investor Payday,Barron's Online,2023-03-07,19:35:00,735
  Largest Bitcoin Fund Soars as Judges Raise Hope for Investor Payday -- Barrons.com,Dow Jones Institutional News,2023-03-07,19:01:00,749
  Grayscale's bitcoin trust shares jump 9% after ETF hearing,MarketWatch,2023-03-07,18:55:00,422
                             Grayscale Bitcoin Trust Rises as SEC Case Starts -- WSJ,Dow Jones Institutional News,2023-03-07,18:30:00,392
  Bitcoin Falls Slightly Amid Silvergate Worries -- Market Talk,Dow Jones Institutional News,2023-03-07,15:43:00,127
  Bitcoin May Have Hit Its Peak. Brace for a Bumpy Ride.,Barron's Online,2023-03-07,13:42:00,620
  Press Release: Iris Energy Announces Monthly Investor Update for February 2023,Dow Jones Institutional News,2023-03-07,12:19:00,2986
  Press Release: Hut 8 Mining Production and Operations Update for February 2023,Dow Jones Institutional News,2023-03-07,11:30:00,1474
                             Silvergate's Crisis May Mark Bitcoin's Near-Term Top. Brace for a Bumpy Ride. -- Barrons.com,Dow Jones Institutional News,2023-03-07,11:03:00,588
  Press Release: Canaan Inc. Reports Unaudited Fourth Quarter and Full Year 2022 Financial Results,Dow Jones Institutional News,2023-03-07,10:15:00,6122
"  Press Release: Bit Digital, Inc. Announces Monthly Production Update for February 2023",Dow Jones Institutional News,2023-03-06,22:00:00,851
"                             FTX's Alameda Research Sues Grayscale Over Fees, Redemptions -- WSJ",Dow Jones Institutional News,2023-03-06,21:02:00,427
  Bitcoin Pauses. A 'Death Cross' Has Formed.,Barron's Online,2023-03-06,13:43:00,582
  Press Release: TeraWulf Announces Energization and Rapid Deployment of Mining Operations at the Nautilus Facility in Pennsylvania,Dow Jones Institutional News,2023-03-06,13:20:00,1177
  Bitcoin Pauses Amid Crypto Bank Pressures. Analysts Eye a 'Death Cross' With Caution. -- Barrons.com,Dow Jones Institutional News,2023-03-06,11:06:00,471
  Press Release: ODoge Solidifies its Place in Bitcoin and Memecoin History with Acquisition of First-ever DOGE Ordinal for 10BTC,Dow Jones Institutional News,2023-03-04,23:00:00,903
  ODoge Solidifies its Place in Bitcoin and Memecoin History with Acquisition of First-ever DOGE Ordinal for 10BTC,Dow Jones Institutional News,2023-03-04,23:00:00,901
"  Here's the real challenge facing Silvergate and other 'crypto banks,' says this short seller",MarketWatch,2023-03-04,19:02:00,1198
                             Core Scientific Shareholders to Get Official Voice in Bankruptcy Case; Bankruptcy judge warns bitcoin mine...,WSJ Pro Bankruptcy,2023-03-03,18:54:00,459
  Bitcoin Tumbles as Silvergate Fears Wipe Out Bullish Crypto Traders,Barron's Online,2023-03-03,15:05:00,754
  Press Release: Riot Announces February 2023 Production and Operations Updates,Dow Jones Institutional News,2023-03-03,14:00:00,1336
  Bitcoin Tumbles as Silvergate Fears Wipe Out Bullish Crypto Traders -- Barrons.com,Dow Jones Institutional News,2023-03-03,10:58:00,1179
"  Press Release: Riot Reports Full Year 2022 Financial Results, Current Operational and Financial Highlights",Dow Jones Institutional News,2023-03-02,22:00:00,3970
  Press Release: Marathon Digital Holdings Announces Bitcoin Production and Mining Operation Updates for February 2023,Dow Jones Institutional News,2023-03-02,21:14:00,1405
  Press Release: CleanSpark Releases February 2023 Bitcoin Mining Update,Dow Jones Institutional News,2023-03-02,14:00:00,1221
  Press Release: Digihost Provides February 2023 Production Update,Dow Jones Institutional News,2023-03-02,11:04:00,1169
  Bitcoin Is Falling. Traders May Be Eyeing Trouble at Another Crypto Industry Giant. -- Barrons.com,Dow Jones Institutional News,2023-03-02,10:55:00,368
  Press Release: TeraWulf Announces Closing of $28 Million Underwritten Equity Offering and Over-Allotment Option,Dow Jones Institutional News,2023-03-01,21:18:00,984
  Press Release: Cipher Mining Announces February 2023 Operational Update,Dow Jones Institutional News,2023-03-01,21:10:00,1087
  *Jazz Pharmaceuticals 4Q Loss/Shr $3.82 >JAZZ,Dow Jones Institutional News,2023-03-01,21:05:00,9152
  Press Release: LQwD Becomes First Third-Party Lighting Service Provider with Leading Lightning Network Wallet,Dow Jones Institutional News,2023-03-01,16:58:00,601
  BitCard® and Blackhawk Network (BHN) to Offer Bitcoin Gift Cards at Select U.S. Retailers,Dow Jones Institutional News,2023-03-01,16:08:00,568
  Bitcoin Starts March on the Right Foot. History Says It May Not End That Way. -- Barrons.com,Dow Jones Institutional News,2023-03-01,12:58:00,505
  Bitcoin Starts March on the Right Foot. History Says It May Not End That Way.,Barron's Online,2023-03-01,12:58:00,491
"  Press Release: Bitfarms Mines 387 BTC in February, Exceeding 20,000 BTC",Dow Jones Institutional News,2023-03-01,12:11:00,2183
  *Ault Alliance Subsidiary Acquires Two Land Lease Agreements and Two Power Purchase Agreements in Montana From TypeX to Expand Bitcoin...,Dow Jones Institutional News,2023-03-01,11:42:00,1080
  Press Release: Marathon Digital Holdings Cancels Conference Call and Postpones Publication of Fourth Quarter and Fiscal Year 2022 Financial Results,Dow Jones Institutional News,2023-02-28,17:21:00,612
"  Bitcoin Stalls Below $24,000. Long-Term Crypto Holders Are Still Buying.",Barron's Online,2023-02-28,14:25:00,511
"  Bitcoin Stalls Below $24,000. But Long-Term Crypto Holders Are Still Buying. -- Barrons.com",Dow Jones Institutional News,2023-02-28,10:24:00,526
"  Crypto Miner, Creditors Clash On the Role of Shareholders -- WSJ",Dow Jones Institutional News,2023-02-28,07:32:00,554
"                             Core Scientific, Creditors Clash Over Shareholders' Role as Bitcoin Rallies; Bankrupt cryptocurrency miner says ...",The Wall Street Journal Online,2023-02-28,01:34:00,506
  Press Release: TeraWulf Sets Date for Fourth Quarter and Full Year 2022 Earnings Conference Call,Dow Jones Institutional News,2023-02-27,21:27:00,880
"                             Cathie Wood: Bitcoin and Ethereum are 'on the right track,' despite collapse of several crypto companies",MarketWatch,2023-02-27,19:51:00,283
"  Bitcoin Rallies From Below $23,000 After Inflation-Data Stumble",Barron's Online,2023-02-27,15:16:00,195
  Press Release: Vortex Announces Investment Campaign To Expand Its Bitcoin Mining Capabilities,Dow Jones Institutional News,2023-02-27,14:30:00,989
  Bullet Blockchain Announces First Patent Licensing Agreement With New Bitcoin ATM Kiosk Manufacturing Partner in USA,Dow Jones Institutional News,2023-02-27,13:42:00,1401
  Press Release: Bullet Blockchain Announces First Patent Licensing Agreement With New Bitcoin ATM Kiosk Manufacturing Partner in USA,Dow Jones Institutional News,2023-02-27,13:42:00,1268
